,gold_label,sentence2_has_negation,split
0,2,0,0
1,1,0,0
2,1,0,0
3,1,0,0
4,2,0,0
5,1,0,0
6,2,0,0
7,1,0,0
8,0,0,0
9,0,0,0
10,1,0,0
11,0,0,0
12,2,0,0
13,2,0,0
14,0,0,0
15,1,0,0
16,1,0,0
17,0,0,0
18,0,1,0
19,2,0,0
20,1,0,0
21,1,0,0
22,0,0,0
23,1,0,0
24,1,0,0
25,2,0,0
26,0,0,0
27,2,0,0
28,0,1,0
29,1,0,0
30,1,0,0
31,1,0,0
32,0,1,0
33,2,0,0
34,0,0,0
35,1,0,0
36,1,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,1,0,0
41,2,0,0
42,1,0,0
43,2,0,0
44,1,0,0
45,1,0,0
46,0,0,0
47,0,0,0
48,2,0,0
49,1,0,0
50,1,0,0
51,1,0,0
52,0,0,0
53,2,0,0
54,2,0,0
55,2,0,0
56,0,0,0
57,2,0,0
58,0,0,0
59,2,0,0
60,2,0,0
61,1,0,0
62,0,0,0
63,1,0,0
64,2,0,0
65,0,1,0
66,0,0,0
67,0,1,0
68,0,0,0
69,0,0,0
70,2,0,0
71,2,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,1,0,0
76,0,0,0
77,2,0,0
78,1,0,0
79,2,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,1,0,0
84,2,0,0
85,1,0,0
86,2,0,0
87,1,0,0
88,0,0,0
89,2,0,0
90,2,0,0
91,0,0,0
92,0,0,0
93,1,0,0
94,1,0,0
95,0,1,0
96,2,0,0
97,1,0,0
98,0,0,0
99,1,0,0
100,0,0,0
101,1,0,0
102,0,0,0
103,2,0,0
104,0,0,0
105,2,1,0
106,1,0,0
107,1,0,0
108,0,0,0
109,1,0,0
110,0,0,0
111,1,0,0
112,1,0,0
113,1,0,0
114,1,0,0
115,1,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,1,0,0
120,0,0,0
121,2,0,0
122,0,0,0
123,1,0,0
124,1,0,0
125,1,0,0
126,1,0,0
127,0,0,0
128,1,0,0
129,1,0,0
130,1,0,0
131,1,0,0
132,2,0,0
133,0,1,0
134,0,1,0
135,1,0,0
136,0,0,0
137,2,0,0
138,0,0,0
139,1,0,0
140,1,0,0
141,1,0,0
142,0,0,0
143,2,0,0
144,0,0,0
145,0,0,0
146,2,0,0
147,0,0,0
148,2,0,0
149,0,0,0
150,1,0,0
151,0,0,0
152,2,0,0
153,2,0,0
154,1,0,0
155,2,0,0
156,0,0,0
157,1,0,0
158,2,0,0
159,2,0,0
160,2,0,0
161,1,0,0
162,0,0,0
163,1,0,0
164,1,0,0
165,2,0,0
166,1,0,0
167,2,0,0
168,1,0,0
169,1,0,0
170,2,0,0
171,1,0,0
172,0,0,0
173,1,0,0
174,2,0,0
175,0,1,0
176,1,0,0
177,1,0,0
178,2,0,0
179,0,0,0
180,0,1,0
181,2,0,0
182,1,0,0
183,2,0,0
184,1,0,0
185,0,0,0
186,0,1,0
187,1,0,0
188,0,1,0
189,0,0,0
190,0,1,0
191,1,0,0
192,0,0,0
193,0,0,0
194,0,1,0
195,0,0,0
196,2,0,0
197,0,0,0
198,0,0,0
199,1,0,0
200,0,0,0
201,1,0,0
202,0,1,0
203,1,0,0
204,1,0,0
205,1,0,0
206,2,0,0
207,2,0,0
208,1,0,0
209,2,0,0
210,1,0,0
211,1,0,0
212,0,0,0
213,0,1,0
214,0,0,0
215,2,0,0
216,0,0,0
217,2,0,0
218,1,0,0
219,1,0,0
220,2,0,0
221,0,0,0
222,2,0,0
223,2,0,0
224,2,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,1,0,0
229,0,0,0
230,0,0,0
231,2,0,0
232,2,0,0
233,1,0,0
234,2,0,0
235,1,0,0
236,2,0,0
237,0,0,0
238,1,0,0
239,1,0,0
240,1,0,0
241,1,0,0
242,1,0,0
243,1,0,0
244,1,0,0
245,0,0,0
246,1,0,0
247,0,0,0
248,1,0,0
249,0,0,0
250,1,0,0
251,2,0,0
252,1,0,0
253,2,0,0
254,2,0,0
255,0,0,0
256,2,0,0
257,2,0,0
258,2,0,0
259,2,0,0
260,1,0,0
261,2,0,0
262,1,0,0
263,1,0,0
264,2,0,0
265,1,0,0
266,2,0,0
267,0,0,0
268,0,0,0
269,0,0,0
270,2,0,0
271,1,0,0
272,1,0,0
273,0,0,0
274,0,0,0
275,0,0,0
276,2,0,0
277,0,0,0
278,0,1,0
279,2,0,0
280,2,0,0
281,1,0,0
282,2,0,0
283,0,0,0
284,1,0,0
285,0,1,0
286,1,0,0
287,1,0,0
288,1,0,0
289,0,1,0
290,1,0,0
291,1,0,0
292,2,0,0
293,2,0,0
294,0,0,0
295,2,0,0
296,0,1,0
297,2,0,0
298,2,0,0
299,2,1,0
300,0,0,0
301,1,0,0
302,0,0,0
303,0,1,0
304,2,0,0
305,1,0,0
306,2,0,0
307,0,0,0
308,0,1,0
309,1,0,0
310,1,0,0
311,1,0,0
312,0,0,0
313,1,0,0
314,2,0,0
315,2,0,0
316,0,0,0
317,1,0,0
318,0,0,0
319,0,0,0
320,2,0,0
321,2,0,0
322,0,0,0
323,0,0,0
324,2,0,0
325,0,0,0
326,0,0,0
327,2,0,0
328,0,0,0
329,2,0,0
330,0,0,0
331,0,0,0
332,2,0,0
333,2,0,0
334,2,0,0
335,0,0,0
336,0,0,0
337,1,0,0
338,1,0,0
339,0,0,0
340,2,0,0
341,0,0,0
342,2,0,0
343,2,0,0
344,0,1,0
345,2,0,0
346,1,0,0
347,1,0,0
348,1,0,0
349,1,0,0
350,0,0,0
351,0,0,0
352,2,0,0
353,0,0,0
354,2,0,0
355,2,0,0
356,1,0,0
357,1,0,0
358,1,0,0
359,1,0,0
360,2,0,0
361,0,1,0
362,0,1,0
363,0,0,0
364,0,0,0
365,1,0,0
366,2,0,0
367,0,0,0
368,2,0,0
369,1,0,0
370,1,0,0
371,0,1,0
372,2,0,0
373,1,0,0
374,1,0,0
375,2,0,0
376,2,0,0
377,1,0,0
378,1,0,0
379,2,0,0
380,0,1,0
381,1,0,0
382,0,0,0
383,0,1,0
384,0,1,0
385,1,0,0
386,1,0,0
387,0,0,0
388,0,0,0
389,2,0,0
390,1,0,0
391,0,0,0
392,0,0,0
393,2,0,0
394,2,0,0
395,2,0,0
396,2,0,0
397,2,0,0
398,2,0,0
399,1,0,0
400,2,0,0
401,2,1,0
402,0,0,0
403,0,0,0
404,1,0,0
405,0,0,0
406,0,0,0
407,0,0,0
408,1,0,0
409,1,0,0
410,2,1,0
411,0,1,0
412,1,0,0
413,1,0,0
414,1,0,0
415,1,0,0
416,1,0,0
417,1,1,0
418,0,0,0
419,1,0,0
420,1,0,0
421,1,0,0
422,1,0,0
423,0,0,0
424,2,0,0
425,2,0,0
426,1,0,0
427,0,0,0
428,0,0,0
429,0,1,0
430,0,0,0
431,0,0,0
432,1,0,0
433,1,0,0
434,0,1,0
435,0,0,0
436,0,0,0
437,0,0,0
438,0,1,0
439,2,0,0
440,2,0,0
441,1,0,0
442,2,0,0
443,1,0,0
444,2,0,0
445,1,1,0
446,0,0,0
447,2,0,0
448,1,0,0
449,0,0,0
450,1,0,0
451,2,0,0
452,1,0,0
453,2,0,0
454,0,0,0
455,1,0,0
456,1,0,0
457,0,0,0
458,2,0,0
459,1,0,0
460,0,0,0
461,1,0,0
462,1,0,0
463,0,0,0
464,2,0,0
465,1,0,0
466,1,0,0
467,0,0,0
468,0,0,0
469,0,0,0
470,2,0,0
471,2,0,0
472,0,0,0
473,0,1,0
474,1,0,0
475,0,0,0
476,2,0,0
477,0,0,0
478,1,0,0
479,0,0,0
480,1,0,0
481,1,0,0
482,0,0,0
483,1,0,0
